# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.7.3
#@/tick	156704
#@/user_id	droid-rMBP
a 	啊	c=61 d=1.05722 t=155644
mei mei 	妹妹	c=1 d=1 t=94556
mei miao 	每秒	c=3 d=1 t=151570
mei neng 	沒能	c=4 d=1.00336 t=84922
mei nv 	美女	c=1 d=1 t=18879
mei pei 	沒配	c=2 d=1.99005 t=138608
mei qu 	沒去	c=1 d=1 t=20780
mei quan xian 	沒權限	c=1 d=1 t=66550
mei ren 	沒人	c=5 d=1.956 t=149035
mei ri 	每日	c=6 d=1.92312 t=107893
mei sha 	沒啥	c=10 d=1.00027 t=156282
mei shi 	沒事	c=41 d=1.09163 t=153569
mei shi 	沒試	c=1 d=1 t=91704
mei shu ju 	沒數據	c=2 d=1 t=122896
mei shuo 	沒說	c=1 d=1 t=108355
mei si 	沒死	c=1 d=1 t=120577
mei sou dao 	沒搜到	c=1 d=1 t=16842
mei ti 	媒體	c=3 d=1 t=77925
mei tian 	每天	c=8 d=1 t=119586
mei tuan 	美團	c=1 d=1 t=42171
mei wen ti 	沒問題	c=29 d=1 t=132442
mei xian 	梅縣	c=1 d=1 t=137166
mei xian shi 	沒顯示	c=1 d=1 t=96036
mei yong 	沒用	c=32 d=1 t=154615
mei you 	沒有	c=437 d=1.79092 t=156690
mei yuan 	美元	c=1 d=1 t=17604
mei yue 	每月	c=2 d=1.89583 t=92124
mei zi 	妹子	c=1 d=1 t=50907
mei zuo 	沒做	c=2 d=1 t=133764
men 	們	c=10 d=1 t=156180
men 	門	c=1 d=1 t=133509
men hu 	門戶	c=55 d=2.03764 t=155422
men zhen 	門診	c=2 d=1.97045 t=82285
meng 	萌	c=2 d=1 t=148293
mi 	祕	c=1 d=1 t=40771
mi 	米	c=3 d=1 t=117953
mi lao shu 	米老鼠	c=3 d=1.99501 t=105845
mi ma 	密碼	c=267 d=1.54884 t=155173
mi mi 	咪咪	c=2 d=1 t=88848
mi qi 	米奇	c=1 d=1 t=48521
mi yao 	密鑰	c=48 d=1.82696 t=144607
mi yao dui 	密鑰對	c=1 d=1 t=64023
mian 	免	c=10 d=1 t=140655
mian 	麪	c=13 d=1.01822 t=155290
mian ban 	面板	c=10 d=1 t=156509
mian de 	免得	c=3 d=1 t=99508
mian fei 	免費	c=14 d=1 t=144086
miao 	喵	c=1 d=1 t=66192
miao 	秒	c=32 d=1.96579 t=155003
miao miao 	妙妙	c=1 d=1 t=48522
miao shu 	描述	c=19 d=1.01699 t=151728
mie 	滅	c=2 d=1 t=94005
mie huo qi 	滅火器	c=1 d=1 t=128222
min gan 	敏感	c=1 d=1 t=131724
min gan du 	敏感度	c=1 d=1 t=113104
min guo 	民國	c=1 d=1 t=132448
min qi 	民企	c=1 d=1 t=143310
ming 	名	c=288 d=1.00374 t=156084
ming 	命	c=1 d=1 t=48530
ming 	明	c=4 d=1 t=146376
ming bai 	明白	c=1 d=1 t=100720
ming cheng 	名稱	c=17 d=1.042 t=119828
ming dan 	名單	c=23 d=1 t=151598
ming e 	名額	c=3 d=1.98511 t=156503
ming ling 	命令	c=41 d=1.00124 t=152119
ming ling hang 	命令行	c=3 d=1 t=81818
ming ming 	命名	c=8 d=1 t=156026
ming ming 	明明	c=3 d=1.00006 t=156027
ming nian 	明年	c=1 d=1 t=94525
ming pian 	名片	c=1 d=1 t=55546
ming qi 	名企	c=1 d=1 t=143346
ming que 	明確	c=12 d=1 t=151514
ming ren 	名人	c=1 d=1 t=132645
ming tian 	明天	c=125 d=1.00111 t=152512
ming wen 	明文	c=2 d=1.97531 t=95929
ming xi 	明細	c=9 d=1 t=96127
ming xian 	明顯	c=8 d=1 t=152651
ming zhong 	命中	c=2 d=1.99005 t=123962
ming zi 	名字	c=48 d=1.97045 t=155309
mo 	魔	c=1 d=1 t=7095
mo ban 	模板	c=90 d=1.11361 t=156561
mo ban ming 	模板名	c=1 d=1 t=95136
mo chu 	抹除	c=1 d=1 t=42179
mo hu 	模糊	c=20 d=1 t=142102
mo ke 	墨客	c=2 d=1.98511 t=36942
mo kuai 	模塊	c=8 d=1.956 t=144217
mo ming 	莫名	c=2 d=1 t=48823
mo ni 	模擬	c=5 d=1 t=150367
mo ni qi 	模擬器	c=8 d=1 t=105857
mo ren 	默認	c=165 d=2.13013 t=155558
mo shi 	模式	c=48 d=1 t=153114
mo xing 	模型	c=2 d=1 t=31924
mou 	某	c=2 d=1.03782 t=113805
mou ge 	某個	c=8 d=1 t=133845
mou mou 	某某	c=1 d=1 t=94643
mu 	木	c=1 d=1 t=18883
mu ban 	模板	c=1 d=1 t=95105
mu biao 	目標	c=6 d=1.00341 t=146789
mu di di 	目的地	c=2 d=1.99501 t=74568
mu lu 	目錄	c=328 d=1.18056 t=155372
mu lu wen jian 	目錄文件	c=1 d=1 t=139770
mu qian 	目前	c=1 d=1 t=92611
na 	哪	c=30 d=1.02223 t=148660
na 	拿	c=97 d=1.92774 t=153212
na 	那	c=961 d=2.37807 t=155966
na bian 	那邊	c=255 d=1.00095 t=156564
na bu dao 	拿不到	c=1 d=1 t=116597
na chu 	拿出	c=1 d=1 t=29868
na ci 	那次	c=1 d=1 t=76096
na dao 	拿到	c=20 d=1 t=153233
na de 	拿得	c=1 d=1 t=35792
na diao 	拿掉	c=1 d=1 t=31742
na fen 	那份	c=2 d=1 t=127749
na ge 	哪個	c=269 d=1.05448 t=156683
na ge 	拿個	c=4 d=1 t=149772
na ge 	那個	c=92 d=1 t=155479
na guo 	拿過	c=1 d=1 t=129862
na guo lai 	拿過來	c=1 d=1 t=142378
na guo qu 	拿過去	c=1 d=1 t=90018
na ji ge 	哪幾個	c=1 d=1 t=23717
na jiu 	那就	c=3 d=1 t=148325
na kuai 	哪塊	c=2 d=1 t=78697
na kuai 	那塊	c=5 d=1 t=129749
na lai 	哪來	c=18 d=1 t=152287
na lai 	拿來	c=2 d=1 t=97339
na li 	哪裏	c=160 d=1.83731 t=155543
na li 	那裏	c=26 d=1.00003 t=156521
na me 	那麼	c=1 d=1 t=113820
na qu 	哪去	c=1 d=1 t=76347
na tai 	哪臺	c=4 d=1 t=154248
na tai 	那臺	c=4 d=1 t=116845
na tian 	哪天	c=2 d=1 t=117984
na tian 	那天	c=3 d=1 t=117411
na xie 	哪些	c=18 d=1.13184 t=145394
na yi ge 	哪一個	c=1 d=1 t=9069
na yi hang 	那一行	c=1 d=1 t=99672
na you 	哪有	c=2 d=1 t=90156
na zhi dao 	哪知道	c=1 d=1 t=127200
nai 	奶	c=3 d=1 t=115468
nai 	耐	c=1 d=1 t=124426
nan 	南	c=2 d=1 t=70633
nan 	男	c=3 d=1.9802 t=98167
nan 	難	c=4 d=1 t=60151
nan dao 	難道	c=3 d=1 t=112366
nan gua 	南瓜	c=1 d=1 t=116968
nan hu qu 	南湖區	c=5 d=1 t=86501
nan kan 	難看	c=1 d=1 t=22943
nan shuo 	難說	c=1 d=1 t=77614
nao 	腦	c=1 d=1 t=111165
nao 	鬧	c=1 d=1 t=105847
nao zhong 	鬧鐘	c=2 d=1.97045 t=6916
nao zi 	腦子	c=2 d=1 t=133466
ne 	呢	c=97 d=1.03849 t=154857
nei 	內	c=41 d=1 t=151578
nei bu 	內部	c=11 d=1 t=147873
nei bu ji cheng 	內部集成	c=1 d=1 t=20266
nei ce 	內測	c=7 d=1.95123 t=78128
nei cun 	內存	c=37 d=1.0137 t=146757
nei he 	內核	c=1 d=1 t=83387
nei rong 	內容	c=217 d=1.08747 t=154404
nei wang 	內網	c=31 d=1 t=154989
nei zhi 	內置	c=3 d=1 t=147521
neng 	能	c=468 d=1.2898 t=156387
neng bu neng 	能不能	c=19 d=1.09616 t=148792
neng fou 	能否	c=31 d=1 t=140147
neng gou 	能夠	c=1 d=1 t=104107
neng yong 	能用	c=2 d=1 t=156482
ni 	你	c=3398 d=5.42008 t=156687
ni 	尼	c=1 d=1 t=48505
ni de 	你的	c=3 d=1 t=146306
ni hao 	你好	c=1 d=1 t=9116
ni men 	你們	c=24 d=1.00013 t=155064
ni ming 	匿名	c=10 d=1 t=109686
ni qian duan 	你前端	c=1 d=1 t=26988
ni shou ji 	你手機	c=1 d=1 t=142377
ni xiang 	逆向	c=1 d=1 t=25638
ni you 	你有	c=1 d=1 t=138834
ni zhi yao 	你只要	c=1 d=1 t=113127
nian 	年	c=12 d=1 t=143670
nian du 	年度	c=3 d=2.12826 t=112091
nian jia 	年假	c=1 d=1 t=107692
nian qian 	年前	c=3 d=1 t=117689
nian tie 	粘貼	c=3 d=1 t=126574
nian tu 	粘土	c=1 d=1 t=122693
nian zhong 	年終	c=3 d=1 t=138666
niao 	尿	c=1 d=1 t=96377
niao 	鳥	c=1 d=1 t=10259
niao yuan 	鳥園	c=1 d=1 t=68452
nin 	您	c=6 d=2.9315 t=94656
ning jing 	寧靜	c=2 d=1.99501 t=135762
niu 	牛	c=1 d=1 t=37996
nong 	弄	c=39 d=1.90396 t=149524
nong 	農	c=5 d=2.76103 t=145992
nong chang 	農場	c=5 d=1 t=146222
nong dian 	弄點	c=1 d=1 t=44293
nong ge 	弄個	c=1 d=1 t=6875
nong hao 	弄好	c=3 d=1 t=134331
nong li 	農曆	c=6 d=3.9407 t=115679
nong si 	弄死	c=1 d=1 t=74468
nuo 	挪	c=1 d=1 t=132023
nuo 	諾	c=18 d=1.01792 t=154683
nuo an 	諾按	c=1 d=0.1 t=155287
nv 	女	c=13 d=1.5975 t=112931
nv er 	女兒	c=6 d=1 t=123071
o 	哦	c=496 d=1.30195 t=156494
o 	喔	c=1 d=1 t=114600
o an na 	哦安娜	c=1 d=1 t=49839
o maya 	哦MAYA	c=1 d=1 t=74899
o ren 	哦人	c=1 d=1 t=109245
o xia 	哦下	c=1 d=1 t=22021
o yu 	哦餘	c=1 d=1 t=128741
o za 	哦咋	c=4 d=1 t=119537
ou 	歐	c=2 d=1.96561 t=129596
ou er 	偶爾	c=1 d=1 t=26690
ou fa 	偶發	c=1 d=1 t=111286
ou feng 	歐風	c=1 d=1 t=40668
ou he 	耦合	c=1 d=1 t=48708
ou ji 	偶極	c=0 d=0.1 t=105727
ou ji yu hui 	偶極餘暉	c=1 d=1 t=105728
ou qi 	慪氣	c=1 d=1 t=141569
pa 	怕	c=6 d=1 t=134823
pa 	爬	c=7 d=1 t=115469
pa chong 	爬蟲	c=79 d=1 t=113097
pa qi 	爬起	c=1 d=1 t=30658
pa wa di 	帕瓦蒂	c=1 d=1 t=90120
pai 	拍	c=5 d=1 t=123757
pai 	排	c=57 d=1.00021 t=151159
pai 	派	c=5 d=1 t=120804
pai ban 	排版	c=1 d=1 t=86554
pai cha 	排查	c=11 d=1 t=109333
pai chu 	排出	c=1 d=1 t=54769
pai chu 	排除	c=14 d=1.00129 t=138714
pai dui 	排隊	c=1 d=1 t=95564
pai dui 	派對	c=2 d=1 t=114580
pai hang 	排行	c=12 d=2.30612 t=143727
pai hang bang 	排行榜	c=6 d=1.67706 t=153135
pai ming 	排名	c=40 d=1 t=153207
pai she 	拍攝	c=1 d=1 t=141199
pai shui 	排水	c=15 d=1 t=145901
pai xu 	排序	c=81 d=1 t=156631
pai zhao 	牌照	c=23 d=1.0196 t=60993
pai zi 	牌子	c=1 d=1 t=1578
pan 	潘	c=31 d=1 t=150889
pan 	盤	c=31 d=2.83272 t=150756
pan dong 	潘棟	c=22 d=1 t=152739
pan duan 	判斷	c=82 d=2.8691 t=156170
pan yu 	番禺	c=1 d=1 t=135408
pang 	旁	c=4 d=1 t=133443
pang lu 	旁路	c=0 d=0.1 t=93274
pang lu you 	旁路有	c=1 d=1 t=93275
pao 	拋	c=2 d=1 t=135437
pao 	跑	c=28 d=1.69768 t=155680
pao dao 	跑到	c=1 d=1 t=121654
pao lu 	跑路	c=1 d=1 t=149567
pao pao 	跑跑	c=1 d=1 t=36426
pao qi lai 	跑起來	c=1 d=1 t=43154
pei 	佩	c=1 d=1 t=89003
pei 	配	c=36 d=1 t=155850
pei 	陪	c=4 d=1 t=122764
pei he 	配合	c=3 d=1 t=119848
pei xun 	培訓	c=8 d=1 t=137997
pei zhi 	配置	c=674 d=1.58432 t=156267
pei zhi ge 	配置個	c=1 d=1 t=15917
pei zhi gu 	配置顧	c=1 d=1 t=105236
pei zhi wen jian 	配置文件	c=1 d=1 t=99440
peng 	彭	c=2 d=1 t=112848
peng 	朋	c=2 d=1.43605 t=19142
peng dao 	碰到	c=1 d=1 t=7540
peng you quan 	朋友圈	c=1 d=1 t=24048
pi 	批	c=7 d=1 t=134269
pi chu li 	批處理	c=1 d=1 t=134221
pi lian 	毗連	c=2 d=1 t=73737
pi liang 	批量	c=61 d=1.24293 t=144419
pi pei 	匹配	c=30 d=1 t=151787
pi qi 	脾氣	c=1 d=1 t=96396
pi sa 	批薩	c=1 d=1 t=8277
pi yue 	批閱	c=6 d=1.00101 t=116337
pian 	片	c=2 d=1 t=137442
pian yi 	便宜	c=2 d=1 t=89820
pian yi 	偏移	c=1 d=1 t=45705
piao 	票	c=1 d=1 t=82289
pin 	拼	c=27 d=1.12369 t=145829
pin 	頻	c=1 d=1 t=79454
pin dao 	頻道	c=2 d=1.95123 t=104480
pin fan 	頻繁	c=2 d=1 t=135514
pin jie 	拼接	c=20 d=1 t=147996
pin lv 	頻率	c=6 d=2.0214 t=119581
pin pai 	品牌	c=1 d=1 t=10230
pin yin 	拼音	c=3 d=1 t=18716
ping 	屏	c=5 d=1 t=155232
ping 	平	c=1 d=1 t=145480
ping an 	平安	c=16 d=1.00496 t=146726
ping bi 	屏蔽	c=27 d=2.96062 t=154221
ping ce 	評測	c=1 d=1 t=10223
ping fen 	評分	c=4 d=3.9017 t=23664
ping gu 	評估	c=7 d=1.00348 t=150635
ping guo 	蘋果	c=3 d=1 t=96847
ping heng 	平衡	c=1 d=1 t=31628
ping jun 	平均	c=29 d=1 t=100372
ping lun 	評論	c=21 d=2.96537 t=138895
ping mu 	屏幕	c=16 d=1 t=144597
ping ping wu qi 	平平無奇	c=1 d=1 t=53376
ping shen 	評審	c=3 d=1.40052 t=155023
ping tai 	平臺	c=598 d=1.26083 t=156280
png 	PNG	c=1 d=1 t=13522
po huai 	破壞	c=1 d=1 t=26100
po jie 	破解	c=14 d=1.00198 t=142850
po jie ban 	破解版	c=41 d=1 t=150152
pu 	普	c=2 d=0.1 t=151874
pu luo mi xiu si 	普羅米修斯	c=4 d=1.67796 t=99179
pu tao 	葡萄	c=1 d=1 t=37326
pu tong 	普通	c=31 d=1.91395 t=146624
pu tong ba te 	普通巴特	c=3 d=1 t=95817
qi 	七	c=2 d=1 t=81466
qi 	企	c=7 d=1 t=121725
qi 	其	c=1 d=1 t=25377
qi 	啓	c=1 d=1 t=13797
qi 	器	c=31 d=1.00015 t=155836
qi 	奇	c=6 d=1 t=89004
qi 	期	c=5 d=1.67706 t=140247
qi 	棄	c=1 d=1 t=153489
qi 	起	c=45 d=1 t=155022
qi che 	汽車	c=1 d=1 t=38835
qi dian 	起點	c=2 d=1 t=46616
qi dong 	啓動	c=46 d=1 t=150254
qi guai 	奇怪	c=57 d=1 t=155221
qi guai le 	奇怪了	c=1 d=1 t=89857
qi jian 	起見	c=1 d=1 t=12876
qi lai 	起來	c=21 d=1.11096 t=150844
qi qi 	奇奇	c=1 d=1 t=70544
qi shi 	其實	c=22 d=1 t=154571
qi shi 	起始	c=1 d=1 t=110504
qi ta 	其他	c=12 d=1 t=148569
qi ta 	其它	c=163 d=1.28071 t=156662
qi ti 	氣體	c=1 d=1 t=128221
qi xian 	期限	c=2 d=1.94176 t=81522
qi ye 	企業	c=68 d=1.62227 t=153206
qi yi 	奇異	c=7 d=1.31349 t=150642
qi yong 	啓用	c=16 d=1 t=138191
qi yong 	棄用	c=2 d=1 t=153503
qi zhong 	其中	c=2 d=1 t=85547
qia 	卡	c=0 d=0.1 t=114580
qian 	前	c=32 d=1.00072 t=151138
qian 	千	c=1 d=1 t=26887
qian 	簽	c=11 d=1.00166 t=113743
qian 	遷	c=21 d=1.00001 t=154029
qian 	錢	c=66 d=1.00009 t=154782
qian bao 	錢包	c=6 d=1.96561 t=129600
qian cheng 	前程	c=2 d=1.00019 t=19793
qian dao 	簽到	c=101 d=1.01029 t=151321
qian dao 	遷到	c=3 d=2.69065 t=90609
qian dao ye 	簽到頁	c=1 d=1 t=86058
qian duan 	前端	c=330 d=1.03397 t=156535
qian duan bao 	前端包	c=1 d=1 t=65204
qian duan he 	前端和	c=1 d=1 t=150648
qian fei 	欠費	c=3 d=1 t=101407
qian hou 	前後	c=5 d=1 t=155783
qian hou duan 	前後端	c=3 d=1 t=155659
qian hou duan 	錢後端	c=1 d=1 t=64795
qian jiao 	欠繳	c=3 d=2.9605 t=70699
qian mian 	前面	c=9 d=1.00287 t=115613
qian ming 	簽名	c=68 d=1.00456 t=144622
qian ru 	嵌入	c=5 d=1 t=124158
qian ru 	遷入	c=1 d=1 t=88935
qian san 	前三	c=4 d=1 t=29834
qian tai 	前臺	c=39 d=1 t=154763
qian tao 	嵌套	c=22 d=1 t=103214
qian ti 	前提	c=2 d=1 t=88690
qian tian 	前天	c=2 d=1.94649 t=26510
qian ting 	潛艇	c=1 d=1 t=123684
qian yan 	前沿	c=2 d=1 t=144203
qian yi 	遷移	c=67 d=2.74609 t=151716
qian zhi 	前置	c=2 d=1 t=107385
qian zhui 	前綴	c=7 d=1 t=150657
qian zi 	簽字	c=1 d=1 t=4120
qiang 	強	c=12 d=1.98511 t=156502
qiang 	搶	c=3 d=1.99501 t=156505
qiang qi 	強企	c=35 d=1 t=149120
qiang zhi 	強制	c=12 d=1 t=143221
qiao 	俏	c=1 d=1 t=114549
qiao 	巧	c=42 d=2.66909 t=33378
qiao 	敲	c=2 d=1.96079 t=94560
qiao 	橋	c=1 d=1 t=125402
qie 	切	c=68 d=1.18452 t=154206
qie dao 	切到	c=1 d=1 t=10297
qie ge 	切個	c=1 d=1 t=147129
qie ge 	切割	c=3 d=1 t=10112
qie guo 	切過	c=1 d=1 t=17652
qie huan 	切換	c=52 d=1 t=143349
qie pian 	切片	c=7 d=3.54569 t=97526
qie xia 	切下	c=1 d=1 t=1731
qie ye 	伽倻	c=1 d=1 t=143972
qin 	琴	c=1 d=1 t=18975
qin qi 	親戚	c=1 d=1 t=34013
qin qing 	親情	c=1 d=1 t=156385
qin quan 	侵權	c=1 d=1 t=41777
qing 	清	c=115 d=1.53638 t=156628
qing 	請	c=27 d=1.18731 t=156553
qing 	輕	c=9 d=1.83946 t=115830
qing 	青	c=8 d=1.01381 t=118589
qing chu 	清楚	c=28 d=1 t=156691
qing chu 	清除	c=14 d=1 t=156695
qing dan 	清單	c=7 d=1 t=154759
qing gan 	情感	c=11 d=1.97045 t=20231
qing hua 	清華	c=1 d=1 t=13286
qing jia 	請假	c=5 d=1 t=100911
qing jiao 	請教	c=1 d=1 t=2882
qing kong 	清空	c=31 d=1.00001 t=152773
qing kuang 	情況	c=25 d=1 t=155939
qing li 	清理	c=10 d=1 t=155346
qing long 	青龍	c=5 d=1.97045 t=156507
qing qiu 	請求	c=274 d=5.28285 t=155001
qing song 	輕鬆	c=8 d=1 t=142097
qing suan 	清算	c=1 d=1 t=42778
qing xi 	清晰	c=1 d=1 t=94564
qing zhu 	慶祝	c=1 d=1 t=11949
qiu 	求	c=1 d=1 t=92039
qiu 	球	c=1 d=1 t=36450
qiu he 	求和	c=1 d=1 t=92042
qiu ji 	秋季	c=1 d=1 t=125097
qu 	區	c=13 d=1.44183 t=139731
qu 	去	c=275 d=1.28352 t=156649
qu 	取	c=233 d=1.97051 t=155443
qu 	趣	c=1 d=1 t=69059
qu bie 	區別	c=28 d=1 t=141289
qu chong 	去重	c=1 d=1 t=79669
qu chu 	去除	c=5 d=1 t=117684
qu dai 	取代	c=1 d=1 t=64859
qu dao 	取道	c=3 d=1 t=143661
qu dao 	渠道	c=54 d=1 t=104641
qu diao 	去掉	c=11 d=1 t=152163
qu dong 	驅動	c=4 d=1 t=147749
qu fen 	區分	c=9 d=1 t=115568
qu kuai 	區塊	c=2 d=2.03605 t=85455
qu kuai lian 	區塊鏈	c=3 d=1 t=114681
qu nian 	去年	c=6 d=1 t=138664
qu qiang qi 	去強企	c=1 d=1 t=129634
qu shi 	趨勢	c=1 d=1 t=88374
qu xian tu 	曲線圖	c=2 d=1.96079 t=92183
qu xiao 	取消	c=28 d=1.93707 t=126505
qu yu 	區域	c=3 d=1 t=110715
quan 	全	c=40 d=1.82696 t=152898
quan 	圈	c=13 d=1.96079 t=96254
quan 	權	c=1 d=1 t=113489
quan 	泉	c=1 d=1 t=36549
quan 	犬	c=1 d=1 t=33638
quan bu 	全部	c=60 d=1.00007 t=141463
quan jia 	全家	c=0 d=0.199501 t=119605
quan jia tong 	全家桶	c=1 d=1 t=119606
quan jia tong 	全家通	c=1 d=1 t=119605
quan ju 	全局	c=24 d=1 t=155595
quan li 	權利	c=1 d=1 t=90079
quan liang 	全量	c=6 d=2.402 t=128578
quan liang 	圈樑	c=1 d=1 t=48597
quan nian 	全年	c=1 d=1 t=92608
quan ping 	全屏	c=4 d=1 t=154326
quan shi 	全市	c=1 d=1 t=97720
quan tao 	全套	c=1 d=1 t=138038
quan wen 	全文	c=9 d=0.1 t=105738
quan wen kai ke shi jian di fang cai zheng 	全文開課時間地方財政	c=1 d=1 t=105739
quan xian 	權限	c=185 d=1 t=155963
quan xuan 	全選	c=1 d=1 t=71858
quan yuan 	全員	c=30 d=1.41895 t=146825
quan zi 	圈子	c=106 d=1.00004 t=141040
que 	缺	c=25 d=1 t=141565
que bao 	確保	c=2 d=1 t=106909
que dian 	缺點	c=3 d=1.99501 t=96948
que ding 	確定	c=56 d=1 t=151265
que ding gan 	確定感	c=2 d=1 t=120111
que ding yi ge 	確定一個	c=1 d=1 t=149034
que ren 	確認	c=107 d=1.00003 t=155235
que ren 	缺人	c=1 d=1 t=149562
que shao 	缺少	c=6 d=1 t=152530
que shi 	缺失	c=3 d=1 t=141186
qun 	羣	c=71 d=1 t=156455
qun bi 	羣辟	c=1 d=1 t=112541
qun fa 	羣發	c=11 d=1 t=117240
qun jie shao 	羣介紹	c=1 d=1 t=2655
qun li 	羣裏	c=30 d=1 t=150296
qun liao 	羣聊	c=15 d=1 t=23773
qun luo 	羣落	c=1 d=1 t=74958
qun wen jian 	羣文件	c=1 d=1 t=137482
qun xian 	羣賢	c=1 d=1 t=118462
qun zu 	羣組	c=63 d=1 t=120284
ran 	然	c=3 d=1 t=102448
ran hou 	然後	c=182 d=1.02454 t=155744
rang 	讓	c=185 d=1.00075 t=156065
rang ta 	讓他	c=4 d=1 t=153371
rang ta 	讓她	c=1 d=1 t=13027
rang ta men 	讓他們	c=1 d=1 t=80751
rang wo 	讓我	c=2 d=1 t=84668
re 	熱	c=2 d=1 t=79884
re dian 	熱點	c=2 d=1.18731 t=84160
re du 	熱度	c=5 d=1 t=143729
re fu she 	熱輻射	c=1 d=1 t=20879
re men 	熱門	c=3 d=2.68376 t=29370
ren 	人	c=186 d=1.96561 t=154394
ren 	認	c=2 d=1.82283 t=97100
ren fang di chan 	人房地產	c=1 d=1 t=105734
ren gong 	人工	c=9 d=1.86576 t=112744
ren he 	任何	c=8 d=1 t=145590
ren jia 	人家	c=1 d=1 t=98476
ren ke 	認可	c=1 d=1 t=74158
ren lian 	人臉	c=3 d=1.0476 t=147326
ren min 	人民	c=1 d=1 t=122274
ren ren gong 	人人工	c=1 d=1 t=112697
ren shen 	人身	c=1 d=1 t=41769
ren sheng 	人生	c=1 d=1 t=75538
ren shi 	人事	c=1 d=1 t=50779
ren shou 	人手	c=1 d=1 t=70606
ren shu 	人數	c=24 d=1.24706 t=123634
ren wei 	人爲	c=2 d=1 t=87310
ren wei 	認爲	c=4 d=1 t=128977
ren wu 	任務	c=42 d=1.00913 t=148095
ren yan 	人眼	c=1 d=1 t=151862
ren yi 	任意	c=5 d=1.00004 t=105267
ren yuan 	人員	c=33 d=1.00002 t=149886
ren zheng 	認證	c=27 d=1 t=156304
reng 	扔	c=3 d=1 t=140131
ri 	日	c=114 d=1.99005 t=156404
ri bao 	日報	c=44 d=1 t=126626
ri ben 	日本	c=1 d=1 t=148265
ri chang 	日常	c=2 d=1 t=110524
ri li 	日曆	c=2 d=1 t=119708
ri qi 	日期	c=10 d=1.00089 t=126463
ri shi 	日式	c=1 d=1 t=50910
ri zhi 	日誌	c=275 d=1.03314 t=154948
rong cuo 	容錯	c=3 d=1 t=64940
rong liang 	容量	c=26 d=1.96079 t=136392
rong qi 	容器	c=32 d=1.86936 t=148621
rong qi hua 	容器化	c=1 d=1 t=1404
rong yao 	榮耀	c=1 d=1 t=154219
rong yi 	容易	c=9 d=1 t=155722
rong yu 	冗餘	c=4 d=1 t=69825
ru 	乳	c=2 d=1 t=57717
ru 	入	c=51 d=1.02204 t=156569
ru 	如	c=1 d=1 t=69236
ru can 	入參	c=18 d=1.0001 t=152782
ru ci 	如此	c=7 d=1 t=123797
ru guo 	如果	c=64 d=1.0049 t=155864
ru he 	如何	c=25 d=1 t=154702
ru kou 	入口	c=33 d=1 t=139237
ru ku 	入庫	c=1 d=1 t=122737
ru ma 	辱罵	c=2 d=1.12493 t=42184
ru xia 	如下	c=2 d=1 t=118381
ru xue 	入學	c=1 d=1 t=17075
ru zhan 	入站	c=1 d=1 t=153951
ru zhang 	入賬	c=3 d=1.43869 t=74283
ru zhu 	入駐	c=1 d=1 t=148269
ruan 	軟	c=2 d=1 t=115728
ruan jian 	軟件	c=20 d=1 t=145550
ruan jian bu 	軟件部	c=1 d=1 t=94231
rui 	瑞	c=1 d=1 t=84186
rui 	睿	c=1 d=1 t=79453
ruo 	弱	c=1 d=1 t=10261
sai 	賽	c=1 d=1 t=117930
san 	三	c=29 d=1 t=156405
san fang 	三方	c=23 d=1.00007 t=151374
san fen zhong 	三分鐘	c=2 d=1.7788 t=46183
san ge 	三個	c=31 d=1 t=155099
san ji 	三級	c=1 d=1 t=147773
san tao 	三套	c=1 d=1 t=47829
san tiao 	三條	c=1 d=1 t=90959
san xing 	三星	c=4 d=1.9802 t=38828
san yao 	三要	c=1 d=1 t=89335
san zhong 	三種	c=1 d=1 t=33472
sang 	喪	c=3 d=1.32977 t=151125
sang 	桑	c=0 d=0.1 t=6546
sao 	掃	c=18 d=1 t=124388
sao ma 	掃碼	c=8 d=1 t=111567
sao miao 	掃描	c=10 d=1 t=117964
se 	色	c=2 d=1 t=91793
se cai 	色彩	c=1 d=1 t=67790
sen 	槮	c=1 d=1 t=83624
sha 	啥	c=176 d=1.00019 t=155347
sha 	殺	c=18 d=1.98511 t=151085
sha 	沙	c=10 d=1 t=130538
sha he 	沙盒	c=2 d=1 t=144657
sha niu 	傻妞	c=2 d=1.99005 t=121957
sha shi hou 	啥時候	c=2 d=1 t=78758
sha shou 	殺手	c=2 d=1.98511 t=114698
sha tian 	沙田	c=12 d=1 t=132604
sha yu 	鯊魚	c=1 d=1 t=21843
shai 	篩	c=1 d=1 t=424
shai xuan 	篩選	c=11 d=1 t=105535
shai xuan chu 	篩選出	c=1 d=1 t=105547
shan 	刪	c=131 d=1.71476 t=154980
shan 	山	c=1 d=1 t=94243
shan 	杉	c=2 d=1.92312 t=86963
shan 	閃	c=3 d=1 t=145703
shan chu 	刪除	c=194 d=1.00001 t=156391
shan chu hou 	刪除後	c=1 d=1 t=90861
shan chuan 	山川	c=1 d=1 t=113137
shan da wang 	山大王	c=0 d=0.1 t=3184
shan da wang de 	山大王的	c=1 d=1 t=3185
shan dong sheng 	山東省	c=1 d=1 t=1050
shan le 	刪了	c=2 d=1 t=60857
shan xi sheng 	陝西省	c=1 d=1 t=1069
shang 	上	c=726 d=1.47322 t=156625
shang 	商	c=16 d=1.0035 t=100659
